|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2018|247.0|277.0|283.0|263.0|218.0|198.0|190.0|232.0|252.0|280.0|300.0|346.0|
||2019|442.0|473.0|486.0|408.0|351.0|299.0|274.0|285.0|297.0|318.0|328.0|363.0|
||2020|409.0|396.0|348.0|340.0|402.0|451.0|448.0|357.0|278.0|227.0|225.0||
|1. (15+) ve 6. (35-54) ve 13. (6-8 Ay)|2014|93.0|107.0|111.0|117.0|95.0|85.0|75.0|84.0|79.0|79.0|81.0|101.0|
||2015|115.0|135.0|143.0|148.0|130.0|117.0|107.0|109.0|102.0|105.0|100.0|117.0|
||2016|117.0|136.0|126.0|123.0|107.0|101.0|104.0|111.0|120.0|115.0|127.0|123.0|
||2017|159.0|166.0|175.0|149.0|132.0|114.0|110.0|108.0|113.0|102.0|104.0|111.0|
||2018|129.0|132.0|130.0|118.0|122.0|116.0|108.0|94.0|89.0|94.0|102.0|132.0|
||2019|167.0|208.0|217.0|225.0|197.0|191.0|186.0|178.0|160.0|130.0|141.0|161.0|
||2020|188.0|189.0|178.0|175.0|173.0|189.0|179.0|203.0|215.0|245.0|221.0||
|1. (15+) ve 6. (35-54) ve 14. (9-11 Ay)|2014|25.0|21.0|25.0|28.0|36.0|30.0|40.0|37.0|38.0|29.0|24.0|27.0|
||2015|24.0|36.0|39.0|53.0|50.0|46.0|31.0|27.0|28.0|36.0|37.0|29.0|
||2016|22.0|27.0|34.0|40.0|38.0|39.0|46.0|48.0|50.0|40.0|36.0|35.0|
||2017|36.0|41.0|49.0|61.0|67.0|59.0|46.0|42.0|33.0|37.0|34.0|45.0|
||2018|48.0|48.0|48.0|58.0|60.0|58.0|43.0|46.0|43.0|40.0|35.0|38.0|
||2019|52.0|59.0|58.0|55.0|61.0|63.0|71.0|76.0|79.0|74.0|70.0|60.0|
||2020|61.0|57.0|64.0|68.0|68.0|82.0|85.0|87.0|78.0|70.0|87.0||
|1. (15+) ve 6. (35-54) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|135.0|145.0|149.0|147.0|149.0|160.0|152.0|147.0|144.0|146.0|147.0|137.0|
||2015|146.0|160.0|174.0|179.0|147.0|143.0|137.0|156.0|151.0|164.0|183.0|190.0|
||2016|185.0|166.0|168.0|171.0|162.0|149.0|142.0|155.0|177.0|195.0|193.0|189.0|
||2017|191.0|205.0|199.0|194.0|180.0|180.0|172.0|173.0|191.0|199.0|197.0|184.0|
||2018|181.0|180.0|181.0|181.0|189.0|197.0|208.0|203.0|202.0|209.0|207.0|212.0|
||2019|206.0|213.0|227.0|248.0|237.0|229.0|233.0|248.0|251.0|270.0|279.0|298.0|
||2020|281.0|286.0|252.0|242.0|229.0|249.0|239.0|239.0|242.0|230.0|225.0||
|1. (15+) ve 6. (35-54) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|49.0|38.0|35.0|46.0|49.0|49.0|41.0|38.0|33.0|36.0|44.0|49.0|
||2015|45.0|37.0|34.0|45.0|52.0|51.0|50.0|42.0|46.0|45.0|54.0|55.0|
||2016|54.0|47.0|43.0|35.0|34.0|37.0|34.0|41.0|41.0|51.0|46.0|48.0|
||2017|57.0|63.0|64.0|49.0|47.0|45.0|50.0|46.0|49.0|56.0|61.0|61.0|
||2018|47.0|43.0|49.0|63.0|65.0|61.0|61.0|54.0|67.0|76.0|80.0|67.0|
||2019|68.0|74.0|78.0|81.0|85.0|87.0|93.0|100.0|119.0|110.0|98.0|81.0|
||2020|78.0|75.0|66.0|50.0|57.0|66.0|87.0|89.0|94.0|97.0|100.0||
