|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 21. (1 Yıl Ve Daha Fazla 2 Yıldan Az)|2014|10.0|13.0|17.0|21.0|19.0|15.0|10.0|9.0|10.0|12.0|14.0|11.0|
||2015|16.0|21.0|24.0|16.0|10.0|7.0|11.0|13.0|14.0|13.0|11.0|12.0|
||2016|10.0|9.0|7.0|9.0|12.0|12.0|11.0|13.0|13.0|17.0|14.0|20.0|
||2017|20.0|17.0|13.0|11.0|13.0|12.0|12.0|12.0|9.0|15.0|16.0|21.0|
||2018|19.0|18.0|12.0|17.0|17.0|19.0|13.0|16.0|16.0|18.0|15.0|16.0|
||2019|17.0|17.0|15.0|17.0|21.0|27.0|26.0|27.0|26.0|28.0|23.0|22.0|
||2020|22.0|28.0|28.0|22.0|19.0|16.0|15.0|13.0|11.0|11.0|12.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 22. (2 Yıl Ve Daha Fazla 3 Yıldan Az)|2014|3.0|4.0|7.0|7.0|7.0|4.0|3.0|2.0|2.0|3.0|4.0|3.0|
||2015|2.0|1.0|4.0|4.0|8.0|5.0|9.0|5.0|7.0|7.0|8.0|6.0|
||2016|1.0|1.0|1.0|1.0|2.0|2.0|1.0|1.0|5.0|8.0|9.0|6.0|
||2017|3.0|2.0|2.0|3.0|5.0|5.0|4.0|1.0|1.0|3.0|4.0|5.0|
||2018|6.0|6.0|7.0|6.0|6.0|6.0|5.0|3.0|2.0|5.0|9.0|8.0|
||2019|5.0|3.0|6.0|9.0|12.0|9.0|8.0|10.0|15.0|14.0|9.0|6.0|
||2020|8.0|4.0|3.0|3.0|4.0|5.0|5.0|5.0|8.0|9.0|10.0||
|1. (15+) ve 21. (Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen) ve 23. (3 Yıl Ve Daha Fazla)|2014|4.0|3.0|0.0|2.0|2.0|3.0|2.0|3.0|3.0|3.0|2.0|2.0|
||2015|1.0|3.0|1.0|2.0|0.0|1.0|2.0|3.0|3.0|1.0|0.0|0.0|
||2016|0.0|-9.93E8|1.0|1.0|1.0|-9.93E8|1.0|2.0|4.0|5.0|4.0|2.0|
||2017|2.0|1.0|4.0|4.0|4.0|1.0|-9.93E8|1.0|1.0|5.0|5.0|4.0|
||2018|1.0|2.0|2.0|2.0|2.0|5.0|6.0|5.0|4.0|5.0|6.0|7.0|
||2019|5.0|3.0|5.0|8.0|9.0|5.0|5.0|6.0|7.0|7.0|5.0|5.0|
||2020|5.0|4.0|4.0|1.0|1.0|4.0|3.0|5.0|2.0|3.0|1.0||
|1. (15+) ve 22. (İlkokul) ve 11. (1-2 Ay)|2014|357.0|339.0|312.0|285.0|266.0|288.0|340.0|361.0|378.0|364.0|377.0|394.0|
||2015|406.0|384.0|332.0|283.0|280.0|301.0|335.0|351.0|357.0|361.0|375.0|401.0|
||2016|413.0|381.0|337.0|290.0|291.0|347.0|378.0|418.0|391.0|396.0|379.0|407.0|
||2017|414.0|394.0|336.0|281.0|303.0|302.0|348.0|337.0|345.0|334.0|333.0|332.0|
||2018|337.0|307.0|280.0|256.0|289.0|306.0|351.0|363.0|389.0|408.0|444.0|489.0|
||2019|485.0|409.0|344.0|280.0|328.0|338.0|421.0|420.0|423.0|379.0|366.0|389.0|
||2020|344.0|313.0|310.0|325.0|318.0|267.0|247.0|243.0|256.0|270.0|261.0||
|1. (15+) ve 22. (İlkokul) ve 12. (3-5 Ay)|2014|224.0|232.0|202.0|147.0|129.0|138.0|151.0|164.0|170.0|182.0|202.0|219.0|
||2015|243.0|239.0|220.0|188.0|157.0|144.0|128.0|134.0|149.0|167.0|168.0|180.0|
||2016|210.0|226.0|206.0|157.0|128.0|125.0|131.0|153.0|160.0|173.0|179.0|200.0|
||2017|231.0|243.0|234.0|189.0|156.0|123.0|123.0|124.0|137.0|151.0|157.0|160.0|
||2018|186.0|196.0|199.0|165.0|144.0|143.0|144.0|162.0|167.0|182.0|208.0|262.0|
